IDN,AGE,COUNTRY,GENDER,IMMIGRANT,HAPPINESS
81218,78,Canada,Female,0,7.29
58880,40,Chile,Female,0,6.3
29731,75,Denmark,Male,0,7.68
69444,95,Montenegro,Female,0,5.29
85164,44,Syria,Male,0,3.71
15058,40,Brazil,Male,0,6.8
71726,50,Kosovo,Male,0,4.93
45767,66,Cameroon,Female,0,4.18
52794,21,Burundi,Male,0,3.55
70683,92,Japan,Male,0,5.93
90811,46,Lithuania,Female,0,5.38
83952,77,Bolivia,Male,0,5.86
16300,29,Luxembourg,Male,0,6.94
82084,51,Mongolia,Female,0,4.54
50939,58,Paraguay,Male,0,5.67
48851,47,Uruguay,Female,1,6.41
88233,82,Lesotho,Male,0,4.71
45851,30,Oman,Female,1,7.31
66269,92,Poland,Male,0,5.62
14028,67,Somaliland region,Female,0,4.64
52212,60,Hong Kong,Male,1,6.09
39500,94,Comoros,Female,0,3.73
10663,87,Niger,Male,0,3.89
92469,57,Nigeria,Female,0,5
11368,70,Armenia,Male,0,4.31
46379,55,Angola,Male,0,5.36
25402,86,Lesotho,Female,0,4.86
93933,95,Chile,Female,1,6.84
40956,96,North Cyprus,Male,0,5.26
40870,32,Panama,Male,0,6.94
72209,81,Chad,Male,0,4
75169,52,Guinea,Female,0,3.6
44928,53,Ecuador,Male,0,5.82
52311,40,Djibouti,Female,0,4.56
23138,85,United States,Female,0,6.81
55318,29,El Salvador,Male,0,5.53
21453,92,Zimbabwe,Female,0,4.71
97072,82,Madagascar,Male,0,3.68
57260,65,Yemen,Male,0,4.03
82124,68,Switzerland,Female,1,8.07
39512,23,Guatemala,Female,0,5.92
92829,97,Palestinian Territories,Female,0,4.57
60791,22,North Cyprus,Male,0,5.25
91261,88,Somaliland region,Male,0,4.69
10271,20,Uzbekistan,Female,0,5.59
10629,36,Croatia,Male,1,6.26
17815,74,Montenegro,Male,0,5.24
78556,37,North Cyprus,Female,0,5.27
81258,25,Kenya,Female,0,4.32
18760,84,Moldova,Male,0,5.51
61480,29,Costa Rica,Female,0,7.19
99766,29,Comoros,Male,0,3.68
89355,37,Swaziland,Male,0,4.87
54706,97,Hong Kong,Female,0,5.45
30226,19,Australia,Female,0,7.18
21091,22,Senegal,Female,0,3.74
78573,88,Kenya,Female,0,4.25
64070,93,Cameroon,Female,0,4.32
22902,67,Sudan,Male,0,4.17
65829,83,Taiwan,Male,0,6.04
22360,59,Philippines,Female,0,4.95
39443,63,Uzbekistan,Female,0,5.58
96655,97,El Salvador,Male,1,6.14
18711,81,Cyprus,Female,0,6.3
63835,88,Niger,Male,0,3.92
66546,22,United Arab Emirates,Male,1,7.62
60898,83,Malta,Female,0,5.86
11806,24,Jamaica,Female,1,5.86
84529,46,Switzerland,Female,0,7.48
75974,27,Belgium,Female,0,6.72
94942,94,Georgia,Female,0,4.01
26395,95,Angola,Female,0,5.31
80492,68,Nicaragua,Female,0,5.25
33162,41,Panama,Male,0,6.88
29516,27,Bahrain,Male,0,5.13
73783,26,El Salvador,Male,0,5.56
49356,60,Vietnam,Male,0,5.5
23830,45,Syria,Male,0,3.65
27855,39,China,Male,0,4.82
32502,42,Palestinian Territories,Female,1,4.88
18697,51,Philippines,Female,1,5.08
21465,30,Nigeria,Female,0,5.23
66372,26,Vietnam,Female,0,5.42
77652,99,South Africa,Male,0,4.71
64228,83,Burkina Faso,Female,0,4.25
84464,48,Philippines,Male,0,4.79
44147,44,Botswana,Female,0,3.96
45627,93,Greece,Female,0,5.23
59849,49,Ukraine,Female,1,5.09
71597,71,Bangladesh,Male,0,4.68
41644,20,Benin,Male,0,3.3
81594,62,Montenegro,Female,0,5.15
13615,55,Spain,Male,0,6.06
13136,87,Swaziland,Female,0,4.77
82698,73,Japan,Female,0,5.98
72734,25,Montenegro,Male,0,5.1
27958,22,Zambia,Female,0,4.86
51857,54,Mauritius,Female,0,5.24
28739,77,Costa Rica,Female,0,7.01
53196,42,Italy,Male,0,5.92
71255,71,Egypt,Female,0,4.14
83715,52,Uruguay,Male,0,6.27
80229,98,Kyrgyzstan,Male,0,4.89
80980,39,Morocco,Female,0,4.8
38824,45,Hungary,Female,0,4.61
92611,18,Mozambique,Male,0,4.96
73034,64,Tunisia,Male,0,4.68
22432,38,Congo-Brazzaville,Female,0,4.29
51605,59,Panama,Male,0,7.01
14934,76,Spain,Female,0,6.06
81908,61,Kazakhstan,Male,0,5.64
52930,53,Malta,Male,0,5.77
28663,39,Botswana,Female,0,3.8
73278,28,Taiwan,Female,0,5.99
36785,66,Turkey,Male,0,5.1
46089,44,Nepal,Female,0,4
92048,21,Denmark,Male,0,7.52
95413,87,China,Male,0,4.9
82008,41,Luxembourg,Female,0,6.79
79420,62,Uzbekistan,Female,0,5.39
95260,44,South Korea,Female,0,6.27
80784,22,Taiwan,Male,0,5.98
43962,84,Turkmenistan,Female,0,5.57
29405,69,Benin,Male,0,3.23
28929,27,Lesotho,Male,0,4.78
50524,57,Gabon,Female,0,3.91
28209,41,Hong Kong,Female,0,5.39
64551,92,Philippines,Female,0,4.72
75519,30,Paraguay,Male,0,5.69
36852,40,Sri Lanka,Male,0,4.11
41972,50,Nicaragua,Male,0,5.38
85711,30,Portugal,Male,0,5.04
39633,81,Afghanistan,Female,0,3.85
65769,37,Lithuania,Female,0,5.41
84064,76,Mongolia,Female,0,4.56
43222,25,Czech Republic,Male,0,6.23
28361,64,Ghana,Female,0,5.09
76359,70,Philippines,Male,0,4.75
62336,83,France,Female,0,6.75
91237,69,Greece,Female,0,5.16
46680,99,Czech Republic,Male,0,6.21
19542,35,Zimbabwe,Female,0,4.79
44230,69,Egypt,Female,0,3.98
58336,21,Laos,Male,0,4.58
74883,69,Mozambique,Female,1,5.29
82182,49,Tanzania,Female,0,3.65
74767,27,Georgia,Female,0,3.99
54483,38,Malawi,Male,0,3.98
92350,67,Algeria,Male,0,5.34
78402,56,India,Female,0,4.67
24082,56,Latvia,Male,0,4.87
89335,81,Cambodia,Female,0,4.03
32773,28,Iran,Male,0,4.54
25982,32,Honduras,Male,0,4.98
33552,77,Jordan,Male,0,5.16
58445,34,Tunisia,Female,0,4.58
31629,81,Dominican Republic,Male,0,4.86
52920,89,Dominican Republic,Male,0,4.94
49333,24,South Korea,Male,0,6.17
34305,59,Togo,Female,0,2.76
53575,51,Zimbabwe,Male,0,4.6
45018,58,Philippines,Female,1,5.23
89142,49,Uzbekistan,Female,0,5.45
36120,23,Swaziland,Female,0,4.66
86508,66,Guinea,Female,0,3.71
15541,19,Honduras,Female,0,4.88
40976,99,Mali,Male,0,4.01
16546,72,Rwanda,Male,0,3.5
64882,83,Kuwait,Male,0,6.35
75319,54,Hungary,Female,0,4.5
95775,38,Thailand,Female,0,6.29
29128,20,Moldova,Male,0,5.54
79509,40,Togo,Male,0,2.75
38598,62,Belgium,Male,1,7.19
85444,35,Cyprus,Female,1,7.02
44255,47,Germany,Female,0,6.37
40830,74,France,Female,0,6.59
18530,41,Syria,Female,0,3.81
73149,64,Russia,Female,0,5.24
10899,86,Kosovo,Female,0,5.12
55743,41,Oman,Male,1,7.37
70999,52,Swaziland,Female,0,4.75
92928,54,Ecuador,Male,0,5.75
54988,27,Vietnam,Male,0,5.37
12101,61,Romania,Male,0,4.81
53640,61,Georgia,Female,0,3.94
89632,88,Japan,Female,0,6.05
57147,60,Iraq,Female,0,4.67
75908,58,Pakistan,Male,0,5.27
20996,32,Hungary,Female,1,5.37
59910,82,Central African Republic,Male,0,3.5
21021,21,Sierra Leone,Male,0,4.09
98605,73,Senegal,Male,0,3.88
31108,30,Iceland,Female,0,7.14
76712,80,Australia,Male,0,7.29
17607,18,India,Female,0,4.74
17019,82,Iran,Male,0,4.35
24298,65,Belarus,Female,0,5.4
87013,34,Sudan,Male,0,4.38
49800,74,El Salvador,Male,1,6.35
97073,43,Laos,Male,1,5.31
30275,79,Azerbaijan,Male,0,4.49
51318,40,Myanmar,Male,0,4.18
53561,18,Macedonia,Male,0,4.54
31069,27,Sweden,Female,0,7.45
17829,73,North Cyprus,Male,0,5.34
99247,55,Mauritius,Female,0,5.27
56592,41,Ecuador,Male,0,5.64
61368,83,Ghana,Male,0,5.03
90594,34,Egypt,Male,0,4.15
75627,68,Pakistan,Male,0,5
55336,31,Brazil,Male,0,6.84
80627,76,Burkina Faso,Male,0,4.21
21987,47,Benin,Female,0,3.36
48739,34,Malawi,Female,0,4.1
52666,38,United Kingdom,Female,0,6.78
27563,84,Laos,Female,0,4.68
30205,32,Romania,Female,0,4.95
62007,25,Costa Rica,Male,0,7.24
19511,30,Germany,Male,0,6.43
77717,91,Sierra Leone,Male,0,4.05
16095,32,Burkina Faso,Female,0,4.04
62627,33,Benin,Male,0,3.51
63339,85,Liberia,Female,0,4.17
55314,85,Zambia,Female,0,4.92
32209,26,Honduras,Female,0,5.04
79947,88,Kosovo,Female,0,5.03
47499,38,Nepal,Male,0,3.99
89532,25,Syria,Female,0,3.87
30102,94,Estonia,Female,0,5.24
38718,41,Chad,Male,0,3.86
21975,52,Uzbekistan,Female,0,5.54
84919,26,Colombia,Female,0,6.3
57066,80,Croatia,Male,0,5.59
15254,35,Bangladesh,Female,0,4.52
22360,63,Tunisia,Male,0,4.65
32912,48,Ghana,Female,1,5.3
15396,66,Malta,Female,0,5.93
19894,52,United Kingdom,Male,1,7.02
38690,32,Haiti,Female,0,4.32
96000,66,El Salvador,Male,0,5.65
80213,18,Germany,Female,0,6.44
65867,95,Greece,Male,0,5.24
65555,70,United Kingdom,Female,0,6.72
26362,27,Belarus,Female,0,5.42
22999,72,Oman,Female,0,6.75
82763,70,United Arab Emirates,Female,0,7.12
70034,80,Chad,Male,0,4.03
45512,50,Belgium,Female,0,6.96
59870,31,Thailand,Female,1,6.68
38824,84,Iceland,Male,0,7.27
40576,88,Georgia,Male,1,4.84
30097,58,Portugal,Male,0,5.06
32330,69,Italy,Male,1,6.42
75677,95,Egypt,Male,0,4.03
85626,94,Mali,Female,0,3.97
73638,72,Libya,Male,0,5.05
17842,33,Uganda,Female,0,4.27
30238,34,Vietnam,Male,0,5.3
43205,41,Libya,Female,1,5.72
52448,83,Ethiopia,Male,0,4.37
12266,48,United Kingdom,Male,0,6.72
49244,87,Ireland,Male,1,7.31
49727,40,Algeria,Female,1,5.79
40755,93,Argentina,Female,0,6.39
65261,54,Denmark,Male,0,7.55
11807,80,Paraguay,Female,0,5.7
14580,76,Israel,Female,0,7.16
59773,79,Mongolia,Female,0,4.6
87619,96,Nepal,Male,0,4.16
97082,55,Suriname,Female,0,6.27
78374,41,Mauritania,Male,0,4.68
70455,64,Bolivia,Male,0,5.81
73692,90,Bahrain,Male,0,5.18
15755,22,Uruguay,Male,0,6.14
20292,74,Djibouti,Female,0,4.48
35459,61,Mauritania,Male,0,4.49
41186,44,Uruguay,Female,1,6.43
21639,53,Venezuela,Male,0,6.75
41875,28,Serbia,Male,0,4.77
20907,65,Sweden,Female,0,7.38
15243,22,Nepal,Female,0,4.03
83457,88,Portugal,Female,0,4.91
10919,42,Japan,Female,0,6.02
21304,18,Kazakhstan,Female,1,5.71
96068,78,Belarus,Male,0,5.24
86675,80,Sudan,Male,0,4.31
81355,20,Ghana,Female,0,4.96
82072,20,Uganda,Male,0,4.26
43671,78,Pakistan,Female,0,5.17
40643,92,Tanzania,Male,0,3.62
57172,28,Czech Republic,Female,0,6.17
65430,59,Slovakia,Female,0,5.89
64821,78,Sudan,Male,0,4.21
26447,73,Canada,Female,1,8.05
47570,36,Qatar,Male,0,6.48
78534,88,Uganda,Female,0,4.33
60572,89,Pakistan,Female,0,5.01
49073,59,Mexico,Female,0,6.96
96878,82,Malta,Female,0,5.78
96869,95,Congo-Brazzaville,Female,0,4.03
42097,50,Niger,Male,0,3.89
78907,95,Congo-Kinshasa,Female,0,4.47
52252,92,Singapore,Female,1,6.71
77293,79,Venezuela,Female,0,6.93
96566,53,Hungary,Male,0,4.6
63627,22,Canada,Female,0,7.25
55146,63,Suriname,Female,0,6.21
99390,27,Egypt,Female,0,4.26
89973,79,United States,Male,1,7.47
25480,27,Cyprus,Male,0,6.22
79327,27,Yemen,Male,0,3.91
81974,64,Uruguay,Male,0,6.09
19619,75,Bosnia and Herzegovina,Female,1,4.94
30435,91,Slovakia,Male,0,5.94
97596,56,Vietnam,Male,0,5.51
68441,28,Iraq,Female,0,4.7
96206,88,Ecuador,Male,0,5.57
52902,83,Japan,Male,0,6.02
92926,46,Rwanda,Male,0,3.65
85561,29,Armenia,Male,0,4.28
21663,27,Suriname,Male,0,6.27
45032,33,Mauritius,Female,0,5.3
57353,84,Guinea,Male,0,3.58
60735,29,Switzerland,Female,0,7.65
86440,19,Paraguay,Male,0,5.67
73526,47,Ireland,Male,0,6.96
80862,88,Chad,Male,0,4.02
40351,83,France,Female,1,6.93
30886,64,Guatemala,Male,0,5.88
76811,94,Uganda,Male,0,4.15
14437,63,Finland,Female,1,7.88
82440,84,Saudi Arabia,Female,0,6.3
85263,84,Laos,Female,0,4.78
87624,55,Cyprus,Female,0,6.34
23635,50,Senegal,Male,0,3.92
70129,73,Malta,Female,1,6.61
69972,84,Mauritius,Male,0,5.46
89756,96,Rwanda,Male,0,3.53
95734,54,Poland,Male,0,5.63
50844,86,Albania,Male,0,5.49
41664,94,Yemen,Female,0,3.89
45789,48,France,Female,0,6.47
91091,30,Bolivia,Male,0,5.66
54951,76,New Zealand,Female,0,7.16
44887,58,United States,Female,0,6.85
67805,73,Suriname,Female,0,6.12
17758,82,Suriname,Male,0,6.25
54581,46,Serbia,Female,0,4.73
28184,64,Liberia,Female,0,4
57990,40,Sudan,Female,0,4.19
18626,35,Canada,Female,0,7.43
34297,28,Costa Rica,Female,0,7.08
18331,75,Cameroon,Male,0,4.28
36269,29,Cameroon,Female,0,4.35
30340,21,Cambodia,Male,0,3.93
25451,27,Uruguay,Female,0,6.06
63026,35,Estonia,Female,0,5.26
58002,44,Spain,Male,0,6.15
70531,53,Kyrgyzstan,Female,0,4.98
50239,55,Norway,Female,1,7.79
64971,40,Senegal,Female,0,3.71
86909,46,Sudan,Female,0,4.39
20922,84,Congo-Brazzaville,Male,0,4.02
97813,24,Mexico,Male,0,7.04
90028,21,Vietnam,Male,0,5.42
30786,87,Macedonia,Male,0,4.55
83260,88,Angola,Female,0,5.38
74308,60,Costa Rica,Female,0,6.99
58998,48,Bulgaria,Male,0,3.81
84638,95,Georgia,Male,0,4.07
97287,90,Ethiopia,Male,0,4.28
52301,38,Central African Republic,Female,0,3.42
97315,24,Ecuador,Male,1,6.54
25368,70,Madagascar,Male,0,3.82
48146,32,Russia,Female,1,6.07
56926,24,Sweden,Female,0,7.34
24807,64,Bolivia,Female,0,5.68
34880,94,Macedonia,Male,0,4.33
43182,32,Taiwan,Female,0,5.98
47868,35,Qatar,Female,0,6.54
39729,97,Uganda,Female,0,4.26
71282,43,Slovakia,Male,0,5.92
71576,55,Madagascar,Female,0,3.94
67079,91,Czech Republic,Female,0,6.08
85770,97,Norway,Female,0,7.49
17187,82,Panama,Female,0,6.9
41892,40,Thailand,Female,0,6.14
85465,94,Chad,Female,1,4.55
88517,37,El Salvador,Female,0,5.62
62418,95,Costa Rica,Female,0,7.25
14243,42,Zambia,Female,0,4.93
86166,55,Nigeria,Male,0,5.2
10333,96,Denmark,Female,0,7.44
87593,48,Cyprus,Male,1,6.56
77581,36,Myanmar,Male,0,4.42
69069,19,South Korea,Male,0,6.18
92458,74,Lesotho,Male,0,4.69
37065,82,Senegal,Female,0,3.71
62679,65,Denmark,Male,0,7.44
38357,75,Portugal,Female,0,4.89
33707,47,Moldova,Male,1,6.46
80768,35,Chad,Female,0,3.85
15038,38,Hungary,Female,0,4.51
63633,73,Bolivia,Female,0,5.78
88460,20,Burkina Faso,Female,0,4.24
28054,90,Iraq,Female,0,4.75
63946,70,Kuwait,Male,1,7.2
49708,35,Venezuela,Male,0,6.75
91906,57,Congo-Kinshasa,Female,0,4.31
59131,40,Poland,Female,0,5.7
26652,61,Burundi,Male,0,3.56
87757,86,Italy,Male,0,5.77
93050,99,Australia,Male,0,7.13
17163,29,Norway,Female,0,7.62
88511,41,Paraguay,Male,0,5.72
74643,36,Israel,Male,0,7.08
36317,20,Saudi Arabia,Male,0,6.32
37066,48,North Cyprus,Female,0,5.29
47306,88,Estonia,Female,0,5.37
13178,82,New Zealand,Female,0,7.07
65646,54,Tunisia,Male,0,4.54
33255,21,Australia,Male,0,7.3
86587,66,Tunisia,Female,0,4.79
48356,82,Niger,Female,0,4.15
77386,97,Spain,Male,0,6.17
65708,53,Bahrain,Female,1,5.33
69613,44,Luxembourg,Female,0,6.81
68799,69,Turkmenistan,Female,0,5.38
57590,44,Madagascar,Female,0,3.87
18268,75,Liberia,Female,1,4.54
84915,40,Malaysia,Male,0,5.76
73781,55,Uganda,Female,0,4.43
55540,24,Guinea,Female,0,3.6
87347,73,Zambia,Male,0,4.88
27403,81,Jordan,Male,0,5.33
70743,61,Syria,Male,0,3.74
91518,51,United States,Male,0,6.96
49514,75,Spain,Male,0,6.12
84731,82,Venezuela,Male,0,6.79
18129,35,Moldova,Female,0,5.64
96233,19,Oman,Male,1,7.05
75760,57,United Kingdom,Female,0,6.67
23719,45,Morocco,Female,0,4.7
18649,48,Taiwan,Male,0,5.98
33346,45,Malaysia,Female,0,5.56
90832,56,Croatia,Female,1,6.09
62312,56,Cyprus,Male,0,6.25
87551,24,Congo-Kinshasa,Male,0,4.41
60820,26,Estonia,Male,1,5.71
67953,91,United States,Female,0,7.05
19173,70,Nigeria,Male,0,4.97
60589,79,Finland,Male,0,7.12
44928,99,Austria,Male,0,7.27
68049,66,Burundi,Female,0,3.62
27486,98,Latvia,Female,0,4.81
15816,47,Guinea,Male,0,3.71
89138,67,Bosnia and Herzegovina,Female,0,4.51
59929,74,Libya,Male,1,5.86
68859,84,Argentina,Male,0,6.44
67021,81,Peru,Male,1,5.85
89699,76,Comoros,Female,0,3.73
17804,57,Czech Republic,Male,0,6.26
43329,96,Tajikistan,Female,0,4.2
84692,89,Nepal,Female,0,3.86
48401,18,Serbia,Female,1,5.28
82935,48,Peru,Female,0,5.73
34669,65,Austria,Male,0,7.14
25936,99,Suriname,Female,0,5.98
60391,77,Belarus,Female,1,5.53
60690,72,Botswana,Male,0,3.77
62375,23,Indonesia,Male,0,5.26
53852,85,Bolivia,Female,0,5.77
38667,45,Tajikistan,Male,0,4.22
81820,90,Madagascar,Female,0,3.93
68207,76,Mexico,Female,1,7.45
44303,24,Canada,Female,1,8.03
57291,48,Mexico,Male,0,7.05
53107,28,Russia,Female,1,5.85
84499,56,Costa Rica,Male,0,7.08
35929,37,Malaysia,Male,0,5.61
95118,70,Serbia,Female,0,4.78
18377,91,El Salvador,Male,0,5.55
37814,65,Armenia,Female,0,4.28
77891,87,Slovakia,Female,0,5.92
44537,87,Ecuador,Male,0,5.79
35183,69,Kazakhstan,Male,0,5.64
62442,99,Sierra Leone,Female,1,4.64
67426,20,Sri Lanka,Female,0,3.93
24487,72,Turkey,Male,0,5.1
30398,31,Syria,Female,0,3.67
32935,31,Iceland,Female,0,7.32
49220,95,Guatemala,Male,0,5.94
21823,76,Burkina Faso,Female,0,4.25
21000,99,Italy,Male,0,5.84
97745,83,Lebanon,Female,0,4.79
68481,28,Malta,Female,0,5.77
97825,57,Ethiopia,Male,0,4.27
75627,66,China,Male,1,5.17
64821,99,Bolivia,Female,0,5.82
66491,85,Greece,Male,0,5.22
19992,84,Italy,Female,0,5.94
84878,84,Hungary,Male,0,4.55
52860,26,Australia,Female,1,7.82
29150,36,Chile,Female,0,6.44
10553,35,Chad,Male,0,3.96
96802,32,Costa Rica,Male,1,7.45
19446,47,Liberia,Male,0,4.09
69648,62,Luxembourg,Female,0,6.94
77954,55,Czech Republic,Male,1,6.3
63425,86,Burkina Faso,Male,0,4
57695,32,Albania,Female,0,5.44
37297,25,Switzerland,Male,0,7.41
36492,37,Malawi,Male,0,3.88
12562,56,Colombia,Female,1,6.86
36269,85,Venezuela,Female,0,6.97
15676,64,Benin,Female,0,3.29
83818,70,Switzerland,Male,0,7.63
89186,55,Panama,Male,0,6.89
81824,39,Jamaica,Male,0,5.31
33940,70,Finland,Female,0,7.22
80535,63,Palestinian Territories,Male,0,4.64
57404,97,Jamaica,Female,0,5.33
38800,46,Mauritius,Female,0,5.31
98151,89,Zambia,Male,0,4.99
46906,79,Saudi Arabia,Female,0,6.23
88098,61,Burundi,Male,0,3.52
21490,47,Suriname,Male,0,5.98
31869,87,Canada,Male,1,7.89
44709,46,Zambia,Female,0,4.8
47536,88,Sweden,Female,1,7.59
90403,36,South Africa,Female,0,4.69
53209,58,Hong Kong,Male,0,5.32
10673,59,Cyprus,Female,1,6.92
13008,62,Zambia,Female,0,4.72
51898,57,Albania,Female,0,5.31
63479,64,Bosnia and Herzegovina,Male,0,4.56
57891,81,Tajikistan,Female,0,4.2
46688,47,Sweden,Male,0,7.43
35002,40,Laos,Male,0,4.58
97964,99,Benin,Male,0,3.5
67818,50,Togo,Female,0,2.7
87421,61,Moldova,Male,0,5.77
27245,74,Bangladesh,Female,0,4.65
95433,80,Belgium,Male,0,6.76
26558,42,Botswana,Male,0,3.69
84891,72,Slovakia,Female,0,5.69
87146,87,Philippines,Male,0,4.74
10759,79,El Salvador,Male,0,5.67
38642,31,Finland,Male,0,7.1
55994,26,Malaysia,Male,0,5.54
88351,36,Philippines,Male,0,4.73
35356,58,Mozambique,Male,0,4.71
49602,60,Georgia,Female,0,4.14
33666,19,Spain,Male,1,6.48
30071,91,Oman,Male,1,7.5
84644,74,Cameroon,Female,0,4.3
98213,50,Uzbekistan,Female,0,5.34
77207,50,Slovakia,Female,1,6.67
86645,21,Brazil,Male,0,6.83
95160,94,Uzbekistan,Male,0,5.46
58188,28,Ireland,Male,0,6.86
82198,65,Poland,Female,0,5.8
